state,x,y
Andhra Pradesh,-86,-218
Arunachal Pradesh,290,169
Assam,270,112
Bihar,88,89
Chhattisgarh,13,-27
Goa,-217,-199
Gujarat,-242,3
Haryana,-140,176
Himachal Pradesh,-117,258
Jharkhand,73,27
Karnataka,-164,-204
Kerala,-145,-347
Madhya Pradesh,-122,5
Maharashtra,-178,-77
Manipur,293,77
Meghalaya,293,77
Mizoram,265,28
Nagaland,310,126
Odisha,67,-64
Punjab,-175,224
Rajasthan,-217,120
Sikkim,153,140
Tamil Nadu,-91,-313
Telangana,-82,-135
Tripura,236,42
Uttarakhand,-79,210
Uttar Pradesh,6,94
West Bengal,136,12